Harga,Kelurahan,Kecamatan,Kota,Kamar Tidur,Luas Bangunan,Hak Guna,Harga per m2
"Rp1,8 M",Kel. Menteng Atas,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 73m,Strata,"Rp24,7 Jt/m²"
Rp500 Jt,Kel. Rawajati (Rawa Jati),Kec. Pancoran,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 35m,Sertifikat Hak Milik,"Rp14,3 Jt/m²"
Rp700 Jt,Kel. Jembatan Besi,Kec. Tambora,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 48m,Hak Guna Bangunan,"Rp14,6 Jt/m²"
Rp500 Jt,Kel. Pulo Gebang,Kec. Cakung,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 44m,Sertifikat Hak Milik,"Rp11,4 Jt/m²"
"Rp1,9 M",Kel. Menteng Atas,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 115m,Strata,"Rp16,5 Jt/m²"
Rp230 Jt,Kel. Pulo Gebang,Kec. Cakung,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 36m,Sertifikat Hak Milik,"Rp6,4 Jt/m²"
Rp750 Jt,Kel. Lenteng Agung,Kec. Jagakarsa,Kota Jakarta Selatan,Luas Bangunan 23m²,Hak Guna Bangunan,N/A,"Rp32,6 Jt/m²"
Rp1 M,Kel. Cipayung,Kec. Cipayung,Kota Jakarta Timur,1 Kamar Tidur,Luas Bangunan 50m,N/A,Rp20 Jt/m²
"Rp1,5 M",Kel. Pondok Labu,Kec. Cilandak,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 70m,Hak Guna Bangunan,"Rp21,4 Jt/m²"
Rp750 Jt,Kel. Menteng Atas,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 34m,Strata,"Rp22,1 Jt/m²"
Rp375 Jt,Kel. Pulo Gadung,Kec. Pulogadung (Pulo Gadung),Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 36m,Hak Guna Bangunan,"Rp10,4 Jt/m²"
"Rp1,5 M",Kel. Kamal Muara,Kec. Penjaringan,Kota Jakarta Utara,1 Kamar Tidur,Luas Bangunan 51m,N/A,"Rp29,4 Jt/m²"
"Rp1,1 M",Kel. Kedoya Selatan,Kec. Kebon Jeruk,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 54m,N/A,"Rp21,3 Jt/m²"
Rp310 Jt,Kel. Pondok Bambu,Kec. Duren Sawit,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 33m,Sertifikat Hak Milik,"Rp9,4 Jt/m²"
Rp615 Jt,Kel. Lenteng Agung,Kec. Jagakarsa,Kota Jakarta Selatan,Luas Bangunan 22m²,Hak Guna Bangunan,N/A,Rp28 Jt/m²
Rp350 Jt,Kel. Cibubur,Kec. Ciracas,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 40m,Strata,"Rp8,8 Jt/m²"
"Rp1,1 M",Kel. Ragunan,Kec. Pasar Minggu,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 36m,Strata,"Rp31,9 Jt/m²"
"Rp1,2 M",Kel. Menteng Atas,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 63m,N/A,"Rp20,5 Jt/m²"
"Rp2,5 M",Kel. Lebak Bulus,Kec. Cilandak,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 55m,N/A,"Rp45,5 Jt/m²"
Rp475 Jt,Kel. Pejaten Timur,Kec. Pasar Minggu,Kota Jakarta Selatan,Luas Bangunan 26m²,N/A,N/A,"Rp18,3 Jt/m²"
Rp525 Jt,Kel. Rawajati (Rawa Jati),Kec. Pancoran,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 33m,Sertifikat Hak Milik,"Rp15,9 Jt/m²"
Rp330 Jt,Kel. Rawajati (Rawa Jati),Kec. Pancoran,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 20m,Sertifikat Hak Milik,"Rp16,5 Jt/m²"
"Rp1,2 M",Kel. Kebon Kosong,Kec. Kemayoran,Kota Jakarta Pusat,2 Kamar Tidur,Luas Bangunan 56m,Hak Guna Bangunan,"Rp21,4 Jt/m²"
Rp450 Jt,Kel. Rawajati (Rawa Jati),Kec. Pancoran,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 49m,Sertifikat Hak Milik,"Rp9,2 Jt/m²"
Rp760 Jt,Kel. Karet Kuningan,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 28m,Hak Guna Bangunan,"Rp27,1 Jt/m²"
Rp790 Jt,Kel. Kembangan Selatan,Kec. Kembangan,Kota Jakarta Barat,1 Kamar Tidur,Luas Bangunan 37m,Sertifikat Hak Milik,"Rp21,4 Jt/m²"
Rp300 Jt,Kel. Pulo Gebang,Kec. Cakung,Kota Jakarta Timur,Luas Bangunan 27m²,Hak Guna Bangunan,N/A,"Rp11,1 Jt/m²"
Rp550 Jt,Kel. Duri Kosambi,Kec. Cengkareng,Kota Jakarta Barat,Luas Bangunan 26m²,Sertifikat Hak Milik,N/A,"Rp21,2 Jt/m²"
Rp300 Jt,Kel. Lebak Bulus,Kec. Cilandak,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 99m,Hak Guna Bangunan,Rp3 Jt/m²
Rp595 Jt,Kel. Rawajati (Rawa Jati),Kec. Pancoran,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 35m,Sertifikat Hak Milik,Rp17 Jt/m²
Rp300 Jt,Kel. Kebagusan,Kec. Pasar Minggu,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 22m,Sertifikat Hak Milik,"Rp13,6 Jt/m²"
Rp675 Jt,Kel. Duri Kosambi,Kec. Cengkareng,Kota Jakarta Barat,Luas Bangunan 26m²,N/A,N/A,Rp26 Jt/m²
"Rp1,7 M",Kel. Cipinang Cempedak,Kec. Jatinegara,Kota Jakarta Timur,1 Kamar Tidur,Luas Bangunan 45m,Sertifikat Hak Milik,"Rp38,9 Jt/m²"
"Rp1,4 M",Kel. Menteng Dalam,Kec. Tebet,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 76m,Sertifikat Hak Milik,"Rp18,4 Jt/m²"
"Rp1,3 M",Kel. Setia Budi (Setiabudi),Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 56m,Sertifikat Hak Milik,"Rp24,1 Jt/m²"
"Rp1,8 M",Kel. Senen,Kec. Senen,Kota Jakarta Pusat,4 Kamar Tidur,Luas Bangunan 114m,Hak Guna Bangunan,"Rp15,8 Jt/m²"
Rp480 Jt,Kel. Kalibata,Kec. Pancoran,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 29m,N/A,"Rp16,6 Jt/m²"
"Rp1,4 M",Kel. Setia Budi (Setiabudi),Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 56m,Sertifikat Hak Milik,Rp25 Jt/m²
Rp245 Jt,Kel. Cakung Timur,Kec. Cakung,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 36m,Sertifikat Hak Milik,"Rp6,8 Jt/m²"
Rp530 Jt,Kel. Cipinang Besar Selatan,Kec. Jatinegara,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 34m,Sertifikat Hak Milik,"Rp15,6 Jt/m²"
Rp515 Jt,Kel. Cipinang Besar Selatan,Kec. Jatinegara,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 34m,N/A,"Rp15,1 Jt/m²"
Rp600 Jt,Kel. Pesanggrahan,Kec. Pesanggrahan,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 38m,Strata,"Rp15,8 Jt/m²"
Rp999 Jt,Kel. Paseban,Kec. Senen,Kota Jakarta Pusat,4 Kamar Tidur,Luas Bangunan 66m,Sertifikat Hak Milik,"Rp15,1 Jt/m²"
Rp600 Jt,Kel. Kramatjati (Kramat Jati),Kec. Kramatjati (Kramat Jati),Kota Jakarta Timur,1 Kamar Tidur,Luas Bangunan 25m,Sertifikat Hak Milik,Rp24 Jt/m²
"Rp6,5 M",Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,N/A,3 Kamar Tidur,Luas Bangunan 146m,N/A,"Rp44,5 Jt/m²"
"Rp2,8 M",Kec. Jagakarsa,Kota Jakarta Selatan,N/A,2 Kamar Tidur,Luas Bangunan 68m,N/A,"Rp41,2 Jt/m²"
"Rp22,1 M",Kec. Menteng,Kota Jakarta Pusat,N/A,5 Kamar Tidur,Luas Bangunan 351m,N/A,Rp63 Jt/m²
"Rp5,2 M",Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,N/A,4 Kamar Tidur,Luas Bangunan 135m,N/A,"Rp39,2 Jt/m²"
"Rp3,5 M",Kec. Kebayoran Lama,Kota Jakarta Selatan,N/A,2 Kamar Tidur,Luas Bangunan 137m,Hak Guna Bangunan,"Rp25,5 Jt/m²"
"Rp2,5 M",Kel. Karet Semanggi,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 100m,Strata,Rp25 Jt/m²
Rp900 Jt,Kec. Tanah Abang,Kota Jakarta Pusat,N/A,1 Kamar Tidur,Luas Bangunan 41m,Sertifikat Hak Milik,Rp22 Jt/m²
Rp565 Jt,Kel. Cipinang Besar Selatan,Kec. Jatinegara,Kota Jakarta Timur,1 Kamar Tidur,Luas Bangunan 26m,Sertifikat Hak Milik,"Rp21,7 Jt/m²"
Rp680 Jt,Kel. Cipinang Besar Selatan,Kec. Jatinegara,Kota Jakarta Timur,3 Kamar Tidur,Luas Bangunan 48m,Sertifikat Hak Milik,"Rp14,2 Jt/m²"
"Rp1,4 M",Kel. Cawang,Kec. Kramatjati (Kramat Jati),Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 43m,Strata,"Rp33,7 Jt/m²"
"Rp2,2 M",Kec. Kebayoran Baru,Kota Jakarta Selatan,N/A,3 Kamar Tidur,Luas Bangunan 94m,Strata,"Rp23,4 Jt/m²"
"Rp7,8 M",Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,N/A,4 Kamar Tidur,Luas Bangunan 186m,N/A,"Rp41,9 Jt/m²"
Rp1 M,Kel. Cawang,Kec. Kramatjati (Kramat Jati),Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 42m,Sertifikat Hak Milik,"Rp23,8 Jt/m²"
Rp950 Jt,Kel. Tebet Timur,Kec. Tebet,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 38m,Sertifikat Hak Milik,Rp25 Jt/m²
