Harga,Kelurahan,Kecamatan,Kota,Kamar Tidur,Luas Bangunan,Hak Guna,Harga per m2
Rp900 Jt,Kel. Kalideres,Kec. Kalideres,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 55m,N/A,"Rp16,4 Jt/m²"
Rp32 M,Kel. Pulo,Kec. Kebayoran Baru,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 453m,Strata,"Rp70,6 Jt/m²"
Rp700 Jt,Kel. Rawa Buaya,Kec. Cengkareng,Kota Jakarta Barat,1 Kamar Tidur,Luas Bangunan 33m,N/A,"Rp21,2 Jt/m²"
"Rp2,2 M",Kel. Gandaria Utara,Kec. Kebayoran Baru,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 91m,Sertifikat Hak Milik,"Rp24,2 Jt/m²"
"Rp1,9 M",Kel. Kuningan Barat,Kec. Mampang Prapatan,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 26m,Strata,"Rp73,1 Jt/m²"
Rp6 M,Kel. Bangka,Kec. Mampang Prapatan,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 173m,N/A,"Rp34,7 Jt/m²"
Rp190 Jt,Kel. Kelapa Gading Timur,Kec. Kelapa Gading,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 35m,Sertifikat Hak Milik,"Rp5,4 Jt/m²"
Rp850 Jt,Kel. Pejaten Barat,Kec. Pasar Minggu,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 49m,Sertifikat Hak Milik,"Rp17,3 Jt/m²"
Rp695 Jt,Kel. Karet Kuningan,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,Luas Bangunan 29m²,N/A,N/A,Rp24 Jt/m²
Rp645 Jt,Kel. Karet Kuningan,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,Luas Bangunan 29m²,N/A,N/A,"Rp22,2 Jt/m²"
Rp645 Jt,Kel. Karet Kuningan,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,Luas Bangunan 29m²,N/A,N/A,"Rp22,2 Jt/m²"
Rp695 Jt,Kel. Kuningan Timur,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,Luas Bangunan 29m²,N/A,N/A,Rp24 Jt/m²
Rp645 Jt,Kel. Kuningan Timur,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,Luas Bangunan 27m²,N/A,N/A,"Rp23,9 Jt/m²"
Rp550 Jt,Kel. Cipinang Besar Utara,Kec. Jatinegara,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 34m,Sertifikat Hak Milik,"Rp16,2 Jt/m²"
"Rp1,3 M",Kel. Pancoran,Kec. Pancoran,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 59m,Hak Guna Bangunan,Rp22 Jt/m²
Rp6 M,Kel. Menteng Dalam,Kec. Tebet,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 168m,Strata,"Rp35,7 Jt/m²"
"Rp28,5 M",Kel. Pulo,Kec. Kebayoran Baru,Kota Jakarta Selatan,4 Kamar Tidur,Luas Bangunan 365m,Strata,"Rp78,1 Jt/m²"
"Rp7,5 M",Kel. Gunung,Kec. Kebayoran Baru,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 177m,Strata,"Rp42,4 Jt/m²"
Rp630 Jt,Kel. Pluit,Kec. Penjaringan,Kota Jakarta Utara,3 Kamar Tidur,Luas Bangunan 50m,N/A,"Rp12,6 Jt/m²"
Rp875 Jt,Kel. Kemayoran,Kec. Kemayoran,Kota Jakarta Pusat,3 Kamar Tidur,Luas Bangunan 94m,Strata,"Rp9,3 Jt/m²"
"Rp1,4 M",Kel. Pademangan Timur,Kec. Pademangan,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 76m,N/A,"Rp18,4 Jt/m²"
Rp600 Jt,Kel. Cipulir,Kec. Kebayoran Lama,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 38m,N/A,"Rp15,8 Jt/m²"
Rp450 Jt,Kel. Pulo Gebang,Kec. Cakung,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 36m,Hak Guna Bangunan,"Rp12,5 Jt/m²"
"Rp1,8 M",Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 88m,Hak Guna Bangunan,"Rp21,4 Jt/m²"
"Rp3,6 M",Kel. Karet Kuningan,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 85m,N/A,"Rp42,4 Jt/m²"
"Rp1,5 M",Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 88m,Hak Guna Bangunan,"Rp17,6 Jt/m²"
"Rp1,7 M",Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 88m,Hak Guna Bangunan,"Rp19,9 Jt/m²"
"Rp1,5 M",Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 88m,Hak Guna Bangunan,Rp17 Jt/m²
"Rp1,6 M",Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 88m,Hak Guna Bangunan,"Rp18,8 Jt/m²"
"Rp2,8 M",Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 88m,Hak Guna Bangunan,"Rp32,4 Jt/m²"
"Rp2,5 M",Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,3 Kamar Tidur,Luas Bangunan 146m,Hak Guna Bangunan,"Rp17,1 Jt/m²"
"Rp2,4 M",Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 88m,N/A,"Rp27,3 Jt/m²"
"Rp1,7 M",Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 88m,N/A,"Rp19,3 Jt/m²"
"Rp1,3 M",Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,3 Kamar Tidur,Luas Bangunan 88m,Hak Guna Bangunan,"Rp15,3 Jt/m²"
"Rp1,9 M",Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 88m,Hak Guna Bangunan,"Rp21,6 Jt/m²"
"Rp2,2 M",Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 88m,N/A,"Rp25,6 Jt/m²"
"Rp1,5 M",Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,3 Kamar Tidur,Luas Bangunan 88m,Hak Guna Bangunan,Rp17 Jt/m²
"Rp28,5 M",Kel. Pulo,Kec. Kebayoran Baru,Kota Jakarta Selatan,4 Kamar Tidur,Luas Bangunan 365m,N/A,"Rp78,1 Jt/m²"
"Rp3,2 M",Kel. Karet Tengsin,Kec. Tanah Abang,Kota Jakarta Pusat,2 Kamar Tidur,Luas Bangunan 103m,N/A,"Rp31,1 Jt/m²"
Rp595 Jt,Kel. Cengkareng Timur,Kec. Cengkareng,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 55m,Sertifikat Hak Milik,"Rp10,8 Jt/m²"
"Rp4,5 M",Kel. Kelapa Gading Barat,Kec. Kelapa Gading,Kota Jakarta Utara,5 Kamar Tidur,Luas Bangunan 325m,Strata,"Rp13,8 Jt/m²"
Rp800 Jt,Kel. Sumur Batu,Kec. Kemayoran,Kota Jakarta Pusat,4 Kamar Tidur,Luas Bangunan 94m,Hak Guna Bangunan,"Rp8,5 Jt/m²"
Rp550 Jt,Kel. Pesanggrahan,Kec. Pesanggrahan,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 37m,Sertifikat Hak Milik,"Rp14,9 Jt/m²"
Rp325 Jt,Kel. Sunter Agung,Kec. Tanjung Priok,Kota Jakarta Utara,1 Kamar Tidur,Luas Bangunan 22m,N/A,"Rp14,8 Jt/m²"
Rp900 Jt,Kel. Pademangan Timur,Kec. Pademangan,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 60m,N/A,Rp15 Jt/m²
"Rp1,8 M",Kel. Kemayoran,Kec. Kemayoran,Kota Jakarta Pusat,2 Kamar Tidur,Luas Bangunan 85m,Sertifikat Hak Milik,"Rp21,2 Jt/m²"
"Rp1,3 M",Kel. Kemayoran,Kec. Kemayoran,Kota Jakarta Pusat,2 Kamar Tidur,Luas Bangunan 74m,Hak Guna Bangunan,"Rp17,6 Jt/m²"
Rp900 Jt,Kel. Sunter Agung,Kec. Tanjung Priok,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 45m,N/A,Rp20 Jt/m²
"Rp4,3 M",Kel. Bangka,Kec. Mampang Prapatan,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 146m,N/A,"Rp29,5 Jt/m²"
Rp980 Jt,Kel. Jembatan Besi,Kec. Tambora,Kota Jakarta Barat,3 Kamar Tidur,Luas Bangunan 84m,Sertifikat Hak Milik,"Rp11,7 Jt/m²"
Rp225 Jt,Kel. Cengkareng Timur,Kec. Cengkareng,Kota Jakarta Barat,1 Kamar Tidur,Luas Bangunan 33m,N/A,"Rp6,8 Jt/m²"
Rp900 Jt,Kel. Karet Kuningan,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 63m,N/A,"Rp14,3 Jt/m²"
Rp375 Jt,Kel. Cakung Timur,Kec. Cakung,Kota Jakarta Timur,1 Kamar Tidur,Luas Bangunan 36m,Hak Guna Bangunan,"Rp10,4 Jt/m²"
Rp835 Jt,Kel. Sunter Agung,Kec. Tanjung Priok,Kota Jakarta Utara,3 Kamar Tidur,Luas Bangunan 74m,Sertifikat Hak Milik,"Rp11,3 Jt/m²"
Rp980 Jt,Kec. Kembangan,Kota Jakarta Barat,N/A,1 Kamar Tidur,Luas Bangunan 37m,Sertifikat Hak Milik,"Rp26,5 Jt/m²"
Rp850 Jt,Kel. Menteng Dalam,Kec. Tebet,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 42m,Strata,"Rp20,2 Jt/m²"
"Rp1,7 M",Kel. Cawang,Kec. Kramatjati (Kramat Jati),Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 49m,Strata,"Rp34,7 Jt/m²"
"Rp4,1 M",Kel. Cilandak Barat,Kec. Cilandak,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 93m,Sertifikat Hak Milik,"Rp44,1 Jt/m²"
"Rp1,7 M",Kel. Cilandak Barat,Kec. Cilandak,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 140m,Sertifikat Hak Milik,"Rp12,1 Jt/m²"
"Rp4,5 M",Kel. Setia Budi (Setiabudi),Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 125m,Hak Guna Bangunan,Rp36 Jt/m²
Rp850 Jt,Kel. Meruya Utara (Ilir),Kec. Kembangan,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 70m,N/A,"Rp12,1 Jt/m²"
Rp400 Jt,Kel. Meruya Utara (Ilir),Kec. Kembangan,Kota Jakarta Barat,1 Kamar Tidur,Luas Bangunan 30m,Strata,"Rp13,3 Jt/m²"
Rp280 Jt,Kel. Sunter Jaya,Kec. Tanjung Priok,Kota Jakarta Utara,1 Kamar Tidur,Luas Bangunan 22m,N/A,"Rp12,7 Jt/m²"
"Rp3,5 M",Kel. Kemayoran,Kec. Kemayoran,Kota Jakarta Pusat,3 Kamar Tidur,Luas Bangunan 196m,Strata,"Rp17,9 Jt/m²"
Rp500 Jt,Kel. Lenteng Agung,Kec. Jagakarsa,Kota Jakarta Selatan,Luas Bangunan 22m²,Strata,N/A,"Rp22,7 Jt/m²"
Rp700 Jt,Kel. Tanjung Duren Utara,Kec. Grogol Petamburan,Kota Jakarta Barat,1 Kamar Tidur,Luas Bangunan 30m,N/A,"Rp23,3 Jt/m²"
"Rp7,7 M",Kel. Pasar Minggu,Kec. Pasar Minggu,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 62m,Sertifikat Hak Milik,Rp124 Jt/m²
"Rp1,9 M",Kel. Grogol Utara,Kec. Kebayoran Lama,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 60m,Hak Guna Bangunan,"Rp31,7 Jt/m²"
"Rp1,3 M",Kel. Mampang Prapatan,Kec. Mampang Prapatan,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 43m,N/A,"Rp31,4 Jt/m²"
Rp690 Jt,Kel. Kayu Putih,Kec. Pulogadung (Pulo Gadung),Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 45m,N/A,"Rp15,3 Jt/m²"
"Rp2,7 M",Kel. Ancol,Kec. Pademangan,Kota Jakarta Utara,4 Kamar Tidur,Luas Bangunan 153m,Sertifikat Hak Milik,Rp18 Jt/m²
"Rp3,1 M",Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 87m,Strata,"Rp35,6 Jt/m²"
Rp900 Jt,Kel. Duren Tiga,Kec. Pancoran,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 51m,Hak Guna Bangunan,"Rp17,6 Jt/m²"
Rp2 M,Kel. Kelapa Gading Barat,Kec. Kelapa Gading,Kota Jakarta Utara,3 Kamar Tidur,Luas Bangunan 118m,Strata,"Rp16,9 Jt/m²"
Rp550 Jt,Kec. Kelapa Gading,Kota Jakarta Utara,N/A,2 Kamar Tidur,Luas Bangunan 48m,N/A,"Rp11,5 Jt/m²"
Rp550 Jt,Kec. Kelapa Gading,Kota Jakarta Utara,N/A,2 Kamar Tidur,Luas Bangunan 48m,N/A,"Rp11,5 Jt/m²"
"Rp2,4 M",Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,3 Kamar Tidur,Luas Bangunan 146m,N/A,"Rp16,4 Jt/m²"
Rp5 M,Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,3 Kamar Tidur,Luas Bangunan 150m,N/A,"Rp33,3 Jt/m²"
Rp890 Jt,Kec. Pademangan,Kota Jakarta Utara,N/A,2 Kamar Tidur,Luas Bangunan 60m,N/A,"Rp14,8 Jt/m²"
Rp750 Jt,Kel. Kemayoran,Kec. Kemayoran,Kota Jakarta Pusat,1 Kamar Tidur,Luas Bangunan 49m,Strata,"Rp15,3 Jt/m²"
Rp410 Jt,Kel. Gunung Sahari Utara,Kec. Sawah Besar,Kota Jakarta Pusat,1 Kamar Tidur,Luas Bangunan 23m,N/A,"Rp17,8 Jt/m²"
Rp483 Jt,Kel. Pulo Gadung,Kec. Pulogadung (Pulo Gadung),Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 36m,Strata,"Rp13,4 Jt/m²"
"Rp5,5 M",Kel. Kuningan Timur,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 56m,Hak Guna Bangunan,"Rp98,2 Jt/m²"
Rp310 Jt,Kel. Jatinegara,Kec. Cakung,Kota Jakarta Timur,1 Kamar Tidur,Luas Bangunan 21m,N/A,"Rp14,8 Jt/m²"
"Rp1,3 M",Kel. Menteng Atas,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 81m,Sertifikat Hak Milik,"Rp16,7 Jt/m²"
Rp550 Jt,Kel. Cipinang Besar Selatan,Kec. Jatinegara,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 34m,Sertifikat Hak Milik,"Rp16,2 Jt/m²"
"Rp4,8 M",Kel. Menteng Dalam,Kec. Tebet,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 129m,N/A,"Rp37,2 Jt/m²"
Rp400 Jt,Kel. Ancol,Kec. Pademangan,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 445m,Sertifikat Hak Milik,Rp899 Rb/m²
"Rp2,4 M",Kel. Karet Kuningan,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 110m,Sertifikat Hak Milik,"Rp21,8 Jt/m²"
"Rp2,4 M",Kel. Karet Kuningan,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 110m,Sertifikat Hak Milik,"Rp21,8 Jt/m²"
Rp520 Jt,Kel. Jembatan Besi,Kec. Tambora,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 42m,Sertifikat Hak Milik,"Rp12,4 Jt/m²"
Rp4 M,Kel. Setia Budi (Setiabudi),Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 176m,N/A,"Rp22,7 Jt/m²"
"Rp2,3 M",Kel. Karet Kuningan,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 105m,N/A,"Rp21,9 Jt/m²"
Rp900 Jt,Kel. Menteng Atas,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 60m,N/A,Rp15 Jt/m²
"Rp4,8 M",Kel. Menteng Dalam,Kec. Tebet,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 129m,N/A,"Rp37,2 Jt/m²"
"Rp1,8 M",Kel. Karet Kuningan,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 83m,N/A,"Rp21,7 Jt/m²"
Rp390 Jt,Kel. Kalideres,Kec. Kalideres,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 34m,Hak Guna Bangunan,"Rp11,5 Jt/m²"
Rp190 Jt,Kel. Kelapa Gading Timur,Kec. Kelapa Gading,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 35m,Sertifikat Hak Milik,"Rp5,4 Jt/m²"
"Rp7,2 M",Kel. Senayan,Kec. Kebayoran Baru,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 170m,Sertifikat Hak Milik,"Rp42,4 Jt/m²"
Rp625 Jt,Kel. Pulo Gadung,Kec. Pulogadung (Pulo Gadung),Kota Jakarta Timur,Luas Bangunan 23m²,Hak Guna Bangunan,N/A,"Rp27,2 Jt/m²"
Rp600 Jt,Kel. Kelapa Gading Timur,Kec. Kelapa Gading,Kota Jakarta Utara,Luas Bangunan 23m²,Sertifikat Hak Milik,N/A,"Rp26,1 Jt/m²"
Rp290 Jt,Kel. Petukangan Selatan,Kec. Pesanggrahan,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 33m,N/A,"Rp8,8 Jt/m²"
"Rp3,3 M",Kel. Karet Tengsin,Kec. Tanah Abang,Kota Jakarta Pusat,3 Kamar Tidur,Luas Bangunan 130m,Sertifikat Hak Milik,"Rp25,4 Jt/m²"
Rp850 Jt,Kel. Kelapa Gading Barat,Kec. Kelapa Gading,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 45m,Sertifikat Hak Milik,"Rp18,9 Jt/m²"
"Rp2,7 M",Kel. Bangka,Kec. Mampang Prapatan,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 100m,Hak Guna Bangunan,Rp27 Jt/m²
"Rp1,6 M",Kec. Cilandak,Kota Jakarta Selatan,N/A,2 Kamar Tidur,Luas Bangunan 79m,N/A,"Rp20,3 Jt/m²"
"Rp1,2 M",Kel. Kuningan Timur,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 74m,Strata,"Rp16,2 Jt/m²"
"Rp1,8 M",Kel. Kelapa Gading Barat,Kec. Kelapa Gading,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 87m,N/A,"Rp20,7 Jt/m²"
Rp1 M,Kel. Pademangan Timur,Kec. Pademangan,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 70m,Hak Guna Bangunan,Rp15 Jt/m²
Rp1 M,Kel. Cawang,Kec. Kramatjati (Kramat Jati),Kota Jakarta Timur,1 Kamar Tidur,Luas Bangunan 50m,Sertifikat Hak Milik,Rp20 Jt/m²
"Rp1,5 M",Kel. Cawang,Kec. Kramatjati (Kramat Jati),Kota Jakarta Timur,4 Kamar Tidur,Luas Bangunan 66m,Sertifikat Hak Milik,"Rp22,7 Jt/m²"
"Rp123,4 Jt",Kel. Kemayoran,Kec. Kemayoran,Kota Jakarta Pusat,Luas Bangunan 123456m²,Hak Guna Bangunan,N/A,Rp1 Rb/m²
Rp800 Jt,Kec. Tebet,Kota Jakarta Selatan,N/A,1 Kamar Tidur,Luas Bangunan 22m,Sertifikat Hak Milik,"Rp36,4 Jt/m²"
"Rp12,1 M",Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,N/A,4 Kamar Tidur,Luas Bangunan 211m,N/A,"Rp57,3 Jt/m²"
Rp10 M,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,N/A,3 Kamar Tidur,Luas Bangunan 188m,N/A,"Rp53,6 Jt/m²"
Rp570 Jt,Kec. Pancoran,Kota Jakarta Selatan,N/A,2 Kamar Tidur,Luas Bangunan 33m,N/A,"Rp17,3 Jt/m²"
"Rp5,6 M",Kec. Kebayoran Baru,Kota Jakarta Selatan,N/A,3 Kamar Tidur,Luas Bangunan 168m,N/A,"Rp33,3 Jt/m²"
Rp850 Jt,Kel. Pela Mampang,Kec. Mampang Prapatan,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 33m,Strata,"Rp25,8 Jt/m²"
Rp625 Jt,Kec. Pesanggrahan,Kota Jakarta Selatan,N/A,1 Kamar Tidur,Luas Bangunan 31m,N/A,"Rp20,2 Jt/m²"
Rp450 Jt,Kel. Cipinang Besar Selatan,Kec. Jatinegara,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 37m,N/A,"Rp12,2 Jt/m²"
"Rp2,5 M",Kel. Menteng Dalam,Kec. Tebet,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 42m,N/A,"Rp59,5 Jt/m²"
"Rp1,5 M",Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 88m,Hak Guna Bangunan,"Rp17,6 Jt/m²"
"Rp1,4 M",Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 50m,N/A,Rp29 Jt/m²
"Rp1,5 M",Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 88m,Hak Guna Bangunan,"Rp17,3 Jt/m²"
Rp3 M,Kel. Senen,Kec. Senen,Kota Jakarta Pusat,4 Kamar Tidur,Luas Bangunan 299m,Hak Guna Bangunan,Rp10 Jt/m²
"Rp1,7 M",Kec. Pademangan,Kota Jakarta Utara,N/A,3 Kamar Tidur,Luas Bangunan 100m,N/A,"Rp17,5 Jt/m²"
Rp950 Jt,Kel. Penjaringan,Kec. Penjaringan,Kota Jakarta Utara,3 Kamar Tidur,Luas Bangunan 110m,Sertifikat Hak Milik,"Rp8,6 Jt/m²"
Rp290 Jt,Kel. Pesanggrahan,Kec. Pesanggrahan,Kota Jakarta Selatan,Luas Bangunan 22m²,Sertifikat Hak Milik,N/A,"Rp13,2 Jt/m²"
"Rp5,5 M",Kel. Pluit,Kec. Penjaringan,Kota Jakarta Utara,4 Kamar Tidur,Luas Bangunan 238m,Sertifikat Hak Milik,"Rp23,1 Jt/m²"
Rp900 Jt,Kel. Menteng Atas,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 60m,N/A,Rp15 Jt/m²
Rp400 Jt,Kel. Cipinang Besar Selatan,Kec. Jatinegara,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 34m,Hak Guna Bangunan,"Rp11,8 Jt/m²"
Rp4 M,Kel. Setia Budi (Setiabudi),Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 176m,N/A,"Rp22,7 Jt/m²"
"Rp1,4 M",Kel. Kelapa Gading Barat,Kec. Kelapa Gading,Kota Jakarta Utara,3 Kamar Tidur,Luas Bangunan 100m,Hak Guna Bangunan,"Rp14,5 Jt/m²"
Rp900 Jt,Kel. Menteng Atas,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 60m,N/A,Rp15 Jt/m²
Rp850 Jt,Kel. Menteng,Kec. Menteng,Kota Jakarta Pusat,Luas Bangunan 28m²,Sertifikat Hak Milik,N/A,"Rp30,4 Jt/m²"
Rp620 Jt,Kel. Cempaka Baru,Kec. Kemayoran,Kota Jakarta Pusat,2 Kamar Tidur,Luas Bangunan 74m,Sertifikat Hak Milik,"Rp8,4 Jt/m²"
"Rp1,7 M",Kel. Kelapa Gading Barat,Kec. Kelapa Gading,Kota Jakarta Utara,3 Kamar Tidur,Luas Bangunan 103m,Sertifikat Hak Milik,"Rp16,5 Jt/m²"
"Rp1,2 M",Kel. Kenari,Kec. Senen,Kota Jakarta Pusat,Luas Bangunan 46m²,N/A,N/A,"Rp26,1 Jt/m²"
Rp2 M,Kel. Grogol Utara,Kec. Kebayoran Lama,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 60m,Hak Guna Bangunan,"Rp33,3 Jt/m²"
Rp2 M,Kel. Grogol Utara,Kec. Kebayoran Lama,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 60m,Hak Guna Bangunan,"Rp33,3 Jt/m²"
"Rp1,2 M",Kel. Cakung Timur,Kec. Cakung,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 59m,N/A,"Rp20,3 Jt/m²"
Rp190 Jt,Kel. Kelapa Gading Timur,Kec. Kelapa Gading,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 35m,Sertifikat Hak Milik,"Rp5,4 Jt/m²"
"Rp5,1 M",Kel. Menteng Dalam,Kec. Tebet,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 120m,Hak Guna Bangunan,"Rp42,5 Jt/m²"
"Rp1,2 M",Kel. Pejaten Timur,Kec. Pasar Minggu,Kota Jakarta Selatan,4 Kamar Tidur,Luas Bangunan 51m,N/A,"Rp23,5 Jt/m²"
Rp600 Jt,Kel. Jembatan Besi,Kec. Tambora,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 42m,N/A,"Rp14,3 Jt/m²"
Rp650 Jt,Kel. Rawa Buaya,Kec. Cengkareng,Kota Jakarta Barat,1 Kamar Tidur,Luas Bangunan 35m,Hak Guna Bangunan,"Rp18,6 Jt/m²"
"Rp1,8 M",Kel. Menteng Dalam,Kec. Tebet,Kota Jakarta Selatan,4 Kamar Tidur,Luas Bangunan 110m,Hak Guna Bangunan,"Rp16,4 Jt/m²"
"Rp1,8 M",Kel. Menteng Dalam,Kec. Tebet,Kota Jakarta Selatan,4 Kamar Tidur,Luas Bangunan 110m,Hak Guna Bangunan,"Rp16,4 Jt/m²"
Rp999 Jt,Kel. Paseban,Kec. Senen,Kota Jakarta Pusat,4 Kamar Tidur,Luas Bangunan 66m,Sertifikat Hak Milik,"Rp15,1 Jt/m²"
